mais_metade,menos_metade,prop_mais,prop_menos,ano
1875,8602,17.8963443733893,82.1036556266107,2015
1716,10427,14.1315984517829,85.8684015482171,2016
2577,10312,19.9937931569555,80.0062068430445,2017
3053,12117,20.1252471984179,79.8747528015821,2018
2543,15202,14.3307974077205,85.6692025922795,2019
